position,entity name,examples,norms,RESTAURANT-TYPE
FOOD-TYPE,BEEF,소고기,소고기 구이,KOREAN
FOOD-TYPE,BEEF,쇠고기,소고기 구이,KOREAN
FOOD-TYPE,BEEF,우삼겹,소고기 구이,KOREAN
FOOD-TYPE,BEEF,차돌박이,소고기 구이,KOREAN
FOOD-TYPE,BEEF,한우,소고기 구이,KOREAN
FOOD-TYPE,BEEF,살치살,소고기 구이,KOREAN
FOOD-TYPE,BEEF,한우 양지,소고기 구이,KOREAN
FOOD-TYPE,BEEF,양지살,소고기 구이,KOREAN
FOOD-TYPE,BEEF,소고기 등심,소고기 구이,KOREAN
FOOD-TYPE,BEEF,등심,소고기 구이,KOREAN
FOOD-TYPE,BEEF,소 갈비,소고기 구이,KOREAN
FOOD-TYPE,PORK,돼지고기,돼지고기 구이,KOREAN
FOOD-TYPE,PORK,삼겹살,돼지고기 구이,KOREAN
FOOD-TYPE,PORK,돼지 목살,돼지고기 구이,KOREAN
FOOD-TYPE,PORK,대패 삼겹,돼지고기 구이,KOREAN
FOOD-TYPE,PORK,대패 삼겹살,돼지고기 구이,KOREAN
FOOD-TYPE,PORK,통 삼겹,돼지고기 구이,KOREAN
FOOD-TYPE,PORK,통 삼겹살,돼지고기 구이,KOREAN
FOOD-TYPE,PORK,오겹살,돼지고기 구이,KOREAN
FOOD-TYPE,PORK,돼지고기 삼겹살,돼지고기 구이,KOREAN
FOOD-TYPE,PORK,항정살,돼지고기 구이,KOREAN
FOOD-TYPE,PORK,목살,돼지고기 구이,KOREAN
FOOD-TYPE,PORK,돼지갈비,돼지고기 구이,KOREAN
FOOD-TYPE,PORK,갈비,돼지고기 구이,KOREAN
FOOD-TYPE,LAMB,양고기,양고기 요리,KOREAN
FOOD-TYPE,LAMB,양구이,양고기 요리,KOREAN
FOOD-TYPE,KOREAN-CHICKEN,닭고기,닭고기 요리,KOREAN
FOOD-TYPE,KOREAN-CHICKEN,닭모듬구이,닭고기 요리,KOREAN
FOOD-TYPE,KOREAN-CHICKEN,닭갈비,닭고기 요리,KOREAN
FOOD-TYPE,KOREAN-CHICKEN,닭구이,닭고기 요리,KOREAN
FOOD-TYPE,KOREAN-CHICKEN,닭발,닭고기 요리,KOREAN
FOOD-TYPE,KOREAN-CHICKEN,무뼈닭발,닭고기 요리,KOREAN
FOOD-TYPE,INTESTINE,곱창,곱창과 같은 내장요리,KOREAN
FOOD-TYPE,INTESTINE,곱창 전골,곱창과 같은 내장요리,KOREAN
FOOD-TYPE,INTESTINE,낙곱새,곱창과 같은 내장요리,KOREAN
FOOD-TYPE,INTESTINE,소곱창,곱창과 같은 내장요리,KOREAN
FOOD-TYPE,INTESTINE,양념 막창,곱창과 같은 내장요리,KOREAN
FOOD-TYPE,INTESTINE,모듬 곱창,곱창과 같은 내장요리,KOREAN
FOOD-TYPE,INTESTINE,소 곱창 전골,곱창과 같은 내장요리,KOREAN
FOOD-TYPE,INTESTINE,야채 곱창,곱창과 같은 내장요리,KOREAN
FOOD-TYPE,INTESTINE,소 막창,곱창과 같은 내장요리,KOREAN
FOOD-TYPE,INTESTINE,막창 구이,곱창과 같은 내장요리,KOREAN
FOOD-TYPE,INTESTINE,순대 볶음,곱창과 같은 내장요리,KOREAN
FOOD-TYPE,INTESTINE,곱창 구이,곱창과 같은 내장요리,KOREAN
FOOD-TYPE,BIBIMBAP,비빔밥,비빔밥,KOREAN
FOOD-TYPE,BIBIMBAP,돌솥 비빔밥,비빔밥,KOREAN
FOOD-TYPE,BIBIMBAP,전주 비빔밥,비빔밥,KOREAN
FOOD-TYPE,BIBIMBAP,육회 비빔밥,비빔밥,KOREAN
FOOD-TYPE,BIBIMBAP,열무 비빔밥,비빔밥,KOREAN
FOOD-TYPE,BIBIMBAP,꼬막 비빔밥,비빔밥,KOREAN
FOOD-TYPE,BIBIMBAP,산나물 비빔밥,비빔밥,KOREAN
FOOD-TYPE,K-SOUP,해물탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,알탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,꽃게탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,뼈 해장국,국물요리,KOREAN
FOOD-TYPE,K-SOUP,해장국,국물요리,KOREAN
FOOD-TYPE,K-SOUP,만두국,국물요리,KOREAN
FOOD-TYPE,K-SOUP,닭볶음탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,닭도리탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,삼계탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,백숙,국물요리,KOREAN
FOOD-TYPE,K-SOUP,추어탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,국밥,국물요리,KOREAN
FOOD-TYPE,K-SOUP,내장탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,순대국,국물요리,KOREAN
FOOD-TYPE,K-SOUP,순대 국밥,국물요리,KOREAN
FOOD-TYPE,K-SOUP,돼지 국밥,국물요리,KOREAN
FOOD-TYPE,K-SOUP,갈비 탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,설렁탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,곰탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,육개장,국물요리,KOREAN
FOOD-TYPE,K-SOUP,청국장,국물요리,KOREAN
FOOD-TYPE,K-SOUP,연포탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,콩나물 국밥,국물요리,KOREAN
FOOD-TYPE,K-SOUP,조개탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,사골 곰탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,누룽지 백숙,국물요리,KOREAN
FOOD-TYPE,K-SOUP,우족탕,국물요리,KOREAN
FOOD-TYPE,K-SOUP,특 순대국,국물요리,KOREAN
FOOD-TYPE,K-SOUP,선지국,국물요리,KOREAN
FOOD-TYPE,K-SOUP,선지 국밥,국물요리,KOREAN
FOOD-TYPE,K-SOUP,모듬 국밥,국물요리,KOREAN
